epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.5133461015565055,88.33333333333333,85.5,47.43237614966321,46.76249722499725
2,0.4707003831863403,88.25,85.5,46.32439320811217,45.59257588816415
3,0.4344670729977744,87.66666666666666,85.5,44.86035401303202,45.29908813408816
4,0.4151306663240705,87.47916666666666,85.83333333333333,44.58816536496288,45.8672319785478
5,0.4023584510598864,87.5,85.5,44.72857731412481,45.429607614607626
6,0.3820928164890834,87.54166666666666,85.83333333333333,44.101004057114565,44.86547540179121
7,0.3641195808138166,87.89583333333333,85.83333333333333,44.264201455102885,44.80647051778632
8,0.3478698815618242,87.625,85.83333333333333,43.9723152897976,44.53869852369854
9,0.3366482811314719,87.75,85.83333333333333,43.861937670341035,44.5432980907981
