epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.5176450993333545,87.625,85.5,42.62233328016598,42.62332610200259
2,0.3976581948144095,88.125,85.5,45.148465788382566,45.03523369904951
3,0.3517355578286307,88.8125,85.5,47.11010222132118,45.46692751692754
4,0.3342380012784685,88.85416666666667,85.5,48.16978566234733,46.29599289599291
5,0.326038305248533,88.85416666666667,85.5,48.57264864725956,46.75400155400157
6,0.3211022274834769,89.60416666666667,86.5,48.98519778698739,47.10133398764979
7,0.3208255980695997,89.35416666666667,86.5,48.9597420771915,47.60021756021757
8,0.3220883778163365,89.18750000000001,86.5,49.14412997381051,47.10227008285833
9,0.317018061876297,89.18750000000001,86.5,49.13820913988455,47.09939517998343
10,0.3138946975980486,89.18750000000001,86.5,49.231844671020085,46.4660618466501
11,0.31916034647396635,89.18750000000001,86.5,49.26404892509934,46.960567341155595
