epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.521281572488638,87.35416666666666,85.5,43.42820368958524,44.10997297937703
2,0.4612868680403783,88.08333333333333,85.5,45.3949497236939,45.81504342063168
3,0.4469167337967799,87.70833333333333,85.5,45.39994931560528,45.69055638805641
4,0.4385023965285374,88.29166666666666,85.5,44.93381636208648,45.833684093684106
5,0.433466388629033,88.16666666666666,85.5,45.115549347453374,45.82448495948498
6,0.42723248784358686,87.5,85.5,44.85866061118964,45.950824774640594
