epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.5172923377582005,88.25,85.5,47.29861550998917,46.27508741258742
2,0.4740365786211831,88.25,85.5,46.355454854798815,45.628356088356114
3,0.4409003811223166,87.91666666666666,85.5,45.04438075018376,45.88109362859365
4,0.4175400733947754,87.79166666666666,85.83333333333333,45.02716837562608,45.23088637970219
5,0.3926840424537658,87.875,85.83333333333333,44.25194516359559,45.22168636918639
6,0.3779381726469312,87.89583333333333,85.83333333333333,44.44067460945932,44.94046013927595
7,0.3632953592709133,87.85416666666666,85.5,44.435674069549655,44.523456820956845
8,0.3501346835068294,87.77083333333333,85.83333333333333,44.08008009416658,44.88645493395496
9,0.3398426813738687,87.79166666666666,85.5,44.01800583114031,44.23758019758021
