epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.5117240761007581,88.25,85.16666666666667,47.59971200465377,45.97031759090584
2,0.4730217371668134,88.50000000000001,85.16666666666667,45.94436915306092,45.58418150476976
3,0.4389822738511221,88.20833333333333,85.5,44.67193183880104,45.42851426351428
4,0.4122530732836042,87.5625,85.5,44.803056690742345,45.4794452769453
5,0.398281774350575,87.875,85.83333333333333,44.68458917480006,45.31857281607284
6,0.3807959769453321,87.875,85.5,44.55323458979585,44.87247585747589
7,0.3589459487370082,87.875,85.83333333333333,44.50660965786914,44.60542624042626
8,0.3506561389991215,87.60416666666666,85.83333333333333,44.17439046618603,45.19015072646653
9,0.3393724858760834,87.29166666666666,85.5,44.31405520939363,44.639920912420926
10,0.32690361993653433,87.60416666666666,85.5,43.953365441915864,44.60176878676881
