epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.4682529156024639,87.625,85.5,44.61762159989132,45.84465622097205
2,0.350802297775562,88.8125,85.5,47.93028850052632,45.62201728010554
3,0.3270413485857156,88.89583333333333,86.5,48.87833456673221,47.34387657578062
4,0.3163263408037332,89.43750000000001,86.5,49.47397663680936,46.8750013875014
5,0.3144142994513878,89.97916666666667,86.5,49.44884936620414,47.23075535575537
6,0.3125563630690941,89.97916666666667,86.5,50.035978782681376,47.135404872904886
7,0.3108846636918875,89.72916666666667,86.5,49.92810968921447,47.95480532539358
8,0.3097409720604236,89.72916666666667,86.5,49.84411474753764,48.46715776763732
