epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.3477882444858551,89.66666666666667,86.5,51.36816943596922,48.51491008991009
2,0.2145173954112189,91.3125,84.5,52.262328277484826,46.44421760729813
3,0.1647734663316181,91.875,83.5,50.891717122167535,46.0132866387662
4,0.1369065748793738,91.625,83.5,50.17152504349048,45.126695526695535
5,0.1190533850874219,91.83333333333331,83.5,50.29269789916041,44.45020159578984
6,0.11066449220691409,92.04166666666667,83.25,50.210495518693634,43.87655440964265
