epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.5153683040823255,87.375,85.5,42.529310619347285,42.40680055238881
2,0.3995474108627864,88.125,85.5,45.09657667946948,45.52111725993307
3,0.3551450244018009,88.47916666666667,85.5,47.2908731096867,45.52990979608629
4,0.3328594182218824,88.9375,85.5,48.39638462275634,46.1114690864691
5,0.3234943577221462,88.9375,85.5,48.81494142392731,46.192525938114194
6,0.3185835225241525,89.14583333333333,86.5,48.79725890192985,46.15110458169284
7,0.3207851180008479,89.10416666666667,86.5,49.03715672008215,46.76582319641145
8,0.3175180298941476,89.18750000000001,86.5,49.10950440915777,47.3484422440305
9,0.3127997176987784,89.43750000000001,86.5,49.31381270298815,46.77361249861252
10,0.3132503799029759,89.43750000000001,86.5,49.32987788780333,46.69995739554565
11,0.3146483727863857,89.68750000000001,86.5,49.30714499569544,46.968644264232516
