epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.3292516938277653,91.10416666666669,84.5,51.33054045946014,45.93642729819203
2,0.1842400580644607,91.625,83.5,49.261747812469295,44.30564171122997
3,0.1381542022739137,90.72916666666669,83.25,47.76760079628872,44.95531541471945
4,0.1114699084843908,90.95833333333334,83.0,47.593885174647234,43.92312034370858
5,0.0942800715565681,91.41666666666669,83.0,47.810676720034046,44.23805859173507
6,0.08865003394229072,91.37500000000001,83.0,47.907036905471266,44.051363913863916
