epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.43456209393648,88.25,85.5,44.766703486142326,45.40511104392686
2,0.2709190066044147,88.85416666666667,85.5,49.16898015302996,47.57302044360869
3,0.2197280927346303,89.70833333333333,86.5,50.51460639791511,47.98301600360425
4,0.19296212379749,90.54166666666666,86.5,50.929804226561146,48.29476722108302
5,0.1747439480744875,91.04166666666669,85.5,51.67275835168441,47.04191516000341
6,0.1613771892510927,91.66666666666669,84.5,51.06363845503928,46.27442916560565
7,0.1522991909430577,91.41666666666669,84.5,50.73354403455196,46.17915499533149
8,0.1472118622981585,91.79166666666667,84.5,50.741832738022566,46.485937102113596
