epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.5319932790902945,88.08333333333334,85.5,45.99465606305943,45.07600542732124
2,0.433824734045909,87.875,85.5,44.70246926244584,44.68054458613285
3,0.3759775505616115,87.8125,85.5,44.95984535878672,44.94897801029381
4,0.3425341065113361,87.31250000000001,85.5,45.404985514842224,45.048290728878975
5,0.3224149850698617,87.60416666666667,85.83333333333333,44.71085093178719,44.412673568261816
6,0.3121920892825493,87.47916666666667,85.83333333333333,44.18778574045566,44.77275145906727
7,0.3071851042600778,87.5625,85.83333333333333,44.415579212136656,44.90662406221232
8,0.3049300909042358,88.1875,85.83333333333333,44.35436751764335,44.31282290722695
9,0.300664294224519,88.14583333333333,85.83333333333333,44.34106522042253,44.18740832181236
10,0.2974297862786513,87.6875,85.83333333333333,44.36352157663082,44.781488261480554
