epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.4981048320020948,87.375,85.5,42.90802854309432,43.459310950487456
2,0.3456713897841317,88.1875,85.5,45.330826085090685,44.65882867132868
3,0.2767006158828735,89.1875,85.5,48.01958594988189,45.9932511932512
4,0.2369085060698645,89.35416666666667,85.5,49.28118656869032,47.54331224331226
5,0.2184328585863113,89.64583333333333,86.5,49.70671782810484,47.98448495948498
6,0.2094693886382239,90.25,86.5,50.56299070737519,48.195653366241615
7,0.1999522213424955,90.0,86.5,50.48053805435189,48.65439512178644
8,0.1951666900089808,90.625,86.5,50.77735277837056,48.58732973103683
9,0.1902050652674266,90.5625,86.5,51.07399839480713,48.494335225542336
10,0.1851629146507808,90.60416666666666,86.5,50.994769637453366,48.46278670160252
