epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.5210753816824693,87.52083333333334,85.5,43.25574868801648,44.66810414559643
2,0.4627646047335405,88.20833333333333,85.5,45.313470965523976,45.69335914085916
3,0.4487572885476626,88.33333333333333,85.5,45.223130019705096,45.85838855588858
4,0.4416672633244441,87.54166666666666,85.5,44.91913605336013,45.80242091242093
5,0.432722806930542,87.91666666666666,85.5,44.907372550050574,45.84841658341661
6,0.4269606150113619,88.04166666666666,85.83333333333333,44.85474286227191,45.13949027580609
7,0.4250734448432922,87.75,85.5,45.10692319290617,45.26363331113333
8,0.4215430800731365,87.64583333333333,85.83333333333333,44.70263949457835,45.7877905866064
9,0.4178523833935077,87.875,85.83333333333333,44.65344359931434,45.255453479269285
10,0.4147210717201233,87.83333333333333,85.5,44.49768503039787,45.25350542732124
11,0.4126489460468292,87.58333333333333,85.5,44.86059711422909,45.782223054723076
