epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.4201841737542833,89.5,86.5,50.431975501717794,48.47974802974805
2,0.3526019837175096,89.87499999999999,86.5,50.75799525707797,48.50885542756254
3,0.3279535983289991,89.74999999999999,86.5,50.374083466254426,47.57122222742934
4,0.3191977100712912,89.81249999999999,86.5,51.370520581770485,48.4237308013624
5,0.315839980329786,89.75,86.5,50.77332994383498,47.87640415140417
6,0.3070746234485081,89.95833333333333,86.5,50.4434166621394,47.382082711974036
