epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.4177892463547842,89.58333333333333,86.5,50.15102875491005,47.99946719946722
2,0.3448443114757538,90.04166666666666,86.5,50.67270423274282,47.93469527399062
3,0.3274029535906655,90.75,86.5,50.65107166516011,48.00550363229898
4,0.3199555916445596,89.74999999999999,86.5,51.03734467937051,48.329938482570086
5,0.3084127902984619,89.52083333333333,86.5,50.947335291557415,48.450162745751
6,0.3091981368405478,89.70833333333333,86.5,50.52905971500977,49.090519611107865
