epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.5571583679744175,88.81250000000001,85.5,47.964181179270014,47.31148614457441
2,0.4817462350640978,87.27083333333333,85.5,44.66865289600767,45.5897016872017
3,0.4288778730801174,88.04166666666667,85.83333333333333,45.30418357883122,45.74902332961159
4,0.3942952752113342,87.89583333333333,85.5,44.503899831202204,44.23656819788401
5,0.3684082797595432,87.75,85.83333333333333,44.9371066101212,45.01454351204352
6,0.3423584061009543,87.72916666666667,85.83333333333333,44.64918078186451,45.07739593739595
7,0.3296783055577959,87.77083333333333,85.5,44.50289247223025,44.717536760625016
8,0.3158036002090999,87.85416666666667,85.83333333333333,44.68700960461178,44.85775348834175
