batch_size,LR,regularization,margin,positive_tendency,recall@25,mrr@25,recall@50,mrr@50
32,0.0001,0.0,0.5,0.7,86.5,48.50766309564265,90.0,48.591879665153336
32,0.0001,0.1,0.5,0.7,86.5,46.96020659079484,90.0,47.04472207531033
32,0.0001,0.3,0.5,0.7,85.83333333333333,45.854221889221904,90.5,45.9555512753135
32,0.0001,0.0,0.7,0.7,86.5,48.7028290408086,90.0,48.78704561031928
32,0.0001,0.1,0.7,0.7,86.5,47.34387657578062,90.0,47.42906682412877
32,0.0001,0.3,0.7,0.7,85.83333333333333,45.13949027580609,90.5,45.23854489765483
32,0.0001,0.0,0.5,0.8,86.5,48.27024544083369,90.0,48.35521276109513
32,0.0001,0.1,0.5,0.8,86.5,47.44937108127512,90.0,47.53456132962327
32,0.0001,0.3,0.5,0.8,85.5,45.66642940392943,90.0,45.78430270709685
32,0.0001,0.0,0.7,0.8,86.5,48.01873028931853,90.0,48.10294685882922
32,0.0001,0.1,0.7,0.8,86.5,47.51457167015992,90.0,47.599087154675416
32,0.0001,0.3,0.7,0.8,85.83333333333333,44.18130442570848,90.5,44.28419042859448
32,0.0001,0.0,0.5,0.9,86.5,47.98301600360425,90.0,48.067232573114936
32,0.0001,0.1,0.5,0.9,86.5,47.38764859323685,90.0,47.47216407775234
32,0.0001,0.3,0.5,0.9,85.5,44.10997297937703,90.5,44.20878250318655
32,0.0001,0.0,0.7,0.9,86.5,48.196868817457066,90.0,48.28183613771851
32,0.0001,0.1,0.7,0.9,86.5,47.53738496797322,90.0,47.62190045248871
32,0.0001,0.3,0.7,0.9,85.5,44.07558653249058,90.5,44.17490110680516
32,0.0005,0.0,0.5,0.7,86.5,47.7419181981253,90.0,47.83482202632324
32,0.0005,0.1,0.5,0.7,86.5,49.10195213993169,90.0,49.19039168241535
32,0.0005,0.3,0.5,0.7,85.83333333333333,45.47851050909877,90.5,45.5758157877994
32,0.0005,0.0,0.7,0.7,86.5,46.62654401154405,90.0,46.72106261245864
