epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.4333773595946176,90.20833333333331,86.5,51.60641955514422,48.21014124764127
2,0.3589366546698979,90.60416666666666,86.25,50.44746764893623,48.44904088452045
3,0.3371017830712454,89.75,86.16666666666667,51.735601966141566,48.26779927588754
4,0.3222961000033787,90.14583333333331,86.5,50.42117432909406,47.02190489249315
5,0.3134350861821856,89.52083333333333,86.5,50.50557950719319,48.41798658857485
6,0.3097150538648878,90.02083333333333,86.5,50.40036448834998,48.96233065031021
