epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.5180594665663583,87.625,85.5,42.602425308235965,41.54837009395834
2,0.4013182606015886,87.625,85.5,45.40626097908797,45.43030945662528
3,0.3551550081798008,88.47916666666667,85.5,47.57364266501059,45.88940920190922
4,0.3319861803736005,89.1875,85.5,48.35495514945188,45.98296605355432
5,0.3257335552147457,89.10416666666667,85.5,48.59828779209752,46.73822190881017
6,0.3196148318903787,89.10416666666667,85.5,48.810137788506324,47.497384967973225
