epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.5214167328981253,87.27083333333331,85.5,43.15051206468967,44.33883619132847
2,0.460848005918356,88.20833333333333,85.16666666666667,45.25766235140846,45.83366345556751
3,0.4476340825741107,88.33333333333333,85.83333333333333,45.29313539831343,45.854221889221904
4,0.4382297534209031,88.0,85.5,45.21813770938384,45.75438006438009
5,0.4305725464454064,87.875,85.5,44.888497072458,45.6432328782329
6,0.4243646607949183,87.95833333333333,85.5,44.73889610690308,45.81752751634333
7,0.4186681440243354,87.75,85.5,44.8112572399221,45.2715609828768
8,0.41359944756214434,87.875,85.5,44.7331436105604,45.79328509210091
