epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.515938115971429,87.375,85.5,42.55429702183368,42.53560271427921
2,0.4038231713431222,87.875,85.5,45.09997918361307,45.038176997581054
3,0.3525720408984593,88.9375,85.5,47.437540295373005,45.644716394716426
4,0.33270953808512,89.35416666666667,85.5,47.91643834483407,46.23051670551673
5,0.3247799234730856,89.60416666666667,85.5,48.39999529211384,46.243283513871766
6,0.3201109937259129,89.39583333333333,86.5,48.51195998312458,46.347758804662845
7,0.3153683500630515,89.10416666666667,86.5,48.98648202890235,47.05067168125993
8,0.3140288548810141,89.10416666666667,86.5,49.06178868533912,46.59426142484967
9,0.3118047884532383,89.43750000000001,86.5,49.056730132780565,46.51735666294491
10,0.3129271226269858,89.43750000000001,86.5,49.02514817307361,46.58206417765242
11,0.31670710870197843,89.43750000000001,86.5,49.15079508845164,46.58206417765243
