epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.5220305506999676,87.85416666666666,85.16666666666667,43.854923844215634,44.179099963504015
2,0.4619051447281471,87.95833333333333,85.5,45.45371818562413,45.66642940392943
3,0.4458765089511871,87.45833333333333,85.5,45.055510796607926,45.71855755355758
4,0.4396680066218743,87.95833333333333,85.5,45.1039733499215,45.84585248085249
5,0.43183378302134,88.04166666666666,85.5,45.07265768845878,45.86422854922858
6,0.4275580529983227,87.54166666666666,85.5,44.97565021880425,45.794856254856285
7,0.4207662848325876,88.0,85.5,44.78083380027266,45.30791541791544
