epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.4678771106096414,87.875,85.5,44.95504138368098,45.70804699686282
2,0.3498687721215762,89.1875,85.5,47.93602700194988,46.47781148589974
3,0.326723046027697,89.06250000000001,86.5,49.094175523647,47.53738496797322
4,0.3169618913760552,89.18750000000001,86.5,49.46635576680837,47.54007283566109
5,0.3166847710426037,89.47916666666667,86.5,49.516081260612815,47.56226273726275
6,0.312648736513578,89.72916666666667,86.5,49.86524693412058,47.761931124431136
7,0.3100627385652982,89.97916666666667,86.5,49.85035139487722,48.45388313377445
8,0.3088132761991941,89.72916666666667,86.5,49.827302510282294,48.44368777357909
