epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.554720367704119,88.41666666666667,85.5,47.40014458371455,46.29603187662013
2,0.4795577994414738,87.77083333333334,85.83333333333333,44.57422606547218,45.3247355860514
3,0.4295298244271959,87.75,85.5,45.20039452807253,45.53958929958931
4,0.3919528041567121,87.89583333333331,85.83333333333333,44.0871371458909,44.82407703407706
5,0.3617151166711534,87.77083333333333,85.83333333333333,44.552040045979474,44.931902541902566
6,0.3392164877482823,87.66666666666667,85.5,44.40764159339596,44.61545134603959
7,0.326829982655389,87.85416666666667,85.5,44.42971836976266,44.427959262959284
