epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.5166155440466744,88.58333333333333,85.16666666666667,47.6958996074146,46.64936591186593
2,0.4700452302183424,88.25,85.5,46.10963277477596,45.6183695389578
3,0.4382025301456451,87.97916666666666,85.5,45.05791958321175,45.32865162615165
4,0.4128545309816088,87.875,85.5,44.63520749310028,45.88565712065713
5,0.3983641564846039,87.875,85.83333333333333,44.8114019820908,45.41837440337443
6,0.3758324640137808,87.79166666666666,85.5,44.104546147707815,44.88397269397271
7,0.3581356831959316,87.64583333333334,85.83333333333333,44.41089805915243,44.58293155674736
8,0.3529106165681566,87.58333333333333,85.5,43.93210760226223,44.81704656454658
9,0.334052528653826,87.45833333333333,85.5,44.273716666198965,44.11359723609725
10,0.32421816672597614,87.47916666666667,85.83333333333333,43.953985231641774,44.104744977245
