epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.2823300728431114,91.89583333333331,82.25,50.2649432023907,45.91898656898658
2,0.1452315323627912,92.16666666666669,85.0,49.07469098067395,45.76474690342338
3,0.113507843361451,91.47916666666669,83.25,49.62877009933688,45.11521009520236
4,0.096138213116389,92.1875,83.0,50.65607203346711,43.64966365334012
5,0.0902622112861046,93.04166666666669,83.0,51.48492983163243,43.64774849333673
6,0.0776011009628956,92.08333333333336,82.75,50.92887728381905,42.76561355311356
7,0.0738204551430849,92.83333333333336,82.75,52.229918133019716,43.00654060702016
