epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.4060676946089818,90.89583333333331,85.25,50.5734576304758,47.152305047893314
2,0.3401367159990164,89.58333333333333,86.5,51.16048084897146,47.89328628887454
3,0.3237260029866145,90.125,86.5,50.54310439093519,49.22718670218673
4,0.3162883084553938,90.52083333333331,86.5,50.31031517288255,48.29234226236516
5,0.3138449627619523,89.66666666666667,86.5,49.56675153348131,47.65321710453292
6,0.3023289533761831,89.77083333333333,86.5,49.62583655283521,48.38815662172443
7,0.29889338979354274,89.77083333333333,86.5,49.50948011665875,48.8358298564181
