epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.5169263396944318,88.3125,85.5,47.12435403337668,46.116263311851576
2,0.4753629863262176,88.25,85.5,46.57004594004206,46.19492076550903
3,0.4376590720244816,87.6875,85.5,44.78466754672056,45.951841813157614
4,0.4147622329848153,87.95833333333334,85.5,44.793075592922726,45.11992146742149
5,0.3960265730108533,87.875,85.5,44.70221218394197,45.02765072646654
6,0.3849597488130842,87.77083333333333,85.83333333333333,44.60263963740936,45.35004412254415
7,0.3738972331796373,87.39583333333333,85.5,44.54921578362743,44.556170817486624
8,0.3674091356141226,87.54166666666666,85.83333333333333,44.30218627767178,44.63926878676881
9,0.3531587634767805,87.79166666666666,85.5,43.99006016569466,44.63620744752325
10,0.3497521877288818,87.60416666666666,85.5,43.93676871986837,44.63620744752325
11,0.34360720004354206,87.625,85.83333333333333,44.103999960849606,44.52048063048064
