epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.5048173872324137,88.5,85.5,46.77263861413411,45.39404484404486
2,0.4399284376547887,88.125,85.5,44.34816646379524,45.89867137248719
3,0.4023093122702378,87.33333333333333,85.5,44.95231732749533,45.45606171606174
4,0.3715409590647771,87.45833333333333,85.5,44.69913710134482,44.008514818514826
5,0.3472073124005244,87.8125,85.83333333333333,43.99272367865228,44.62549316180896
6,0.3311346861032339,87.72916666666667,85.83333333333333,43.628294613518605,44.68037341227746
7,0.3233202076875247,87.47916666666667,85.5,44.08748127169152,44.66809967809969
8,0.3143973992421077,87.52083333333333,85.5,44.14663049563168,44.07153225343629
9,0.3079465971543239,87.47916666666667,85.5,44.18155867127403,44.66052618434199
10,0.30416278884961057,87.47916666666667,85.83333333333333,44.350459510772694,44.164122587938394
