epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.4984623917511531,87.625,85.5,42.93410392217858,42.81219377028203
2,0.3441956341266632,88.25,85.5,45.31574903516262,45.1641168472051
3,0.2765345914023263,88.85416666666667,85.5,47.96856050909052,46.57658452658454
4,0.2367737165519169,89.18750000000001,85.5,49.23637032515124,47.92066822066824
5,0.2215483614376613,89.47916666666667,86.5,49.51595231506985,48.16097097347099
6,0.205231664436204,89.60416666666667,86.5,50.58379460070819,48.11540119088075
7,0.2011790722608566,89.89583333333333,86.5,50.74943999289769,48.69681936421068
8,0.1928957509143012,89.93749999999999,86.5,51.11852348266627,48.5408650845722
9,0.1895408289773123,90.06249999999999,86.5,51.20385841454724,48.53034921155633
10,0.18341928081853048,90.24999999999999,86.5,50.81446418669907,48.55733333854046
