epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.3889648524614481,89.83333333333333,86.5,50.63146490527872,48.46478701037527
2,0.3299314929888798,90.5,86.5,51.14840034170335,48.85259640880352
3,0.3166818893872775,90.04166666666667,86.5,50.45110363203224,47.338424075924095
4,0.3130017610696646,90.08333333333331,86.5,50.24618969744154,48.53315614124439
5,0.3074860985462482,90.02083333333333,86.5,50.08234799455376,48.22099001789406
6,0.30522872851445126,89.52083333333333,86.5,50.14725547038995,49.36195284184417
