epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.3925079726255857,89.87499999999999,86.5,50.92081496977393,49.10195213993169
2,0.3291668616808377,90.41666666666669,86.5,51.11420201777962,48.76582116713698
3,0.3164348235497108,90.1875,86.5,51.791087350854845,48.74084110334112
4,0.3116242381242605,89.77083333333333,86.5,50.21908275795449,49.238686721774975
5,0.3059911590356093,90.08333333333331,86.5,49.98781484516962,48.34618149308553
6,0.30473262988604033,89.1875,86.5,50.48142778886956,48.59577922077924
