epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.529920185987766,87.9375,85.83333333333333,45.36447043759922,44.87978609110189
2,0.432809252005357,87.85416666666667,85.5,44.90711420443608,46.25180573812155
3,0.3749904930591583,87.83333333333334,85.16666666666667,45.01023801818681,44.24033646092472
4,0.3478495203531705,87.47916666666667,85.5,44.64212413264445,45.199196767285024
5,0.3238642720075754,87.60416666666667,85.83333333333333,44.43872142043166,45.0486837998603
6,0.31063939057863676,87.66666666666667,85.83333333333333,44.51494657320288,44.404279184867434
