epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.4688365872089679,87.875,85.5,44.987982174773954,45.75877959759542
2,0.3492390765593602,89.0625,85.5,47.69805377269375,46.14539390348216
3,0.3252335557570824,89.35416666666667,86.5,48.87183326445692,47.44937108127512
4,0.3155288077317751,89.47916666666667,86.5,49.25505282648655,47.39916374475201
5,0.3114179533261519,89.72916666666667,86.5,49.63973915988999,48.15643752382884
6,0.3086661719358884,89.72916666666667,86.5,50.10597084487167,47.7935540021218
7,0.3070224225521087,89.72916666666667,86.5,50.05292070057153,48.54152971211796
8,0.3084287872681251,89.72916666666667,86.5,50.17048029375613,48.823102306190556
