epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.5178463629313877,87.375,85.5,42.49466134297006,41.560699839376326
2,0.4025254462446485,87.625,85.5,45.37724074864351,45.39052187492593
3,0.3529476565974099,88.22916666666667,85.5,47.32057224149707,45.97532190032192
4,0.3329239189624786,88.85416666666667,85.5,48.10322789236085,46.784942834942846
5,0.324081186737333,88.85416666666667,85.5,48.54673727433182,46.82273461832288
6,0.3231289259025028,88.85416666666667,86.5,48.77938532481076,47.43286258976663
7,0.3194446648870195,89.18750000000001,86.5,48.91075035962973,47.5222334528217
8,0.3151420269693647,89.43750000000001,86.5,48.97294507974038,47.8729660535543
9,0.313890414578574,89.43750000000001,86.5,48.93881486456923,48.05197759756585
10,0.3148040132863181,89.43750000000001,86.5,48.95804991695647,48.05197759756585
11,0.31394341588020325,89.43750000000001,86.5,49.035924126080666,48.07578712137537
