epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.3041621286135453,89.87499999999999,85.5,51.99079006439485,46.61796161354989
2,0.1699977230567198,91.29166666666666,83.5,49.92239434016314,46.16713564213567
3,0.1310938172615491,91.97916666666669,84.25,49.72867510876749,44.16711675579323
4,0.115225970171965,91.52083333333331,83.0,49.25950070624362,44.0233089408012
5,0.1022740373244652,91.10416666666669,84.0,48.75123466371128,44.119416721909
6,0.09843664845594993,91.14583333333334,83.0,48.69194710841349,44.160048809344154
