epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.3297380187681743,91.0625,84.5,52.0884059465347,46.789150615466426
2,0.1848328241280147,91.5,82.25,49.7922522821998,45.127088597676845
3,0.1443152044500623,91.66666666666669,83.25,49.79750452969056,43.84794690603515
4,0.1175856313535145,91.08333333333334,84.0,48.36582409109677,43.30088008396833
5,0.1050060061471802,91.58333333333334,84.0,49.17508390270759,42.2285024615907
6,0.10020363224404198,91.66666666666667,84.0,49.82888968762204,41.79361790170615
