epoch,loss,train_recall@25,test_recall@25,train_mrr@25,test_mrr@25
1,0.5548020430973598,88.97916666666667,85.5,47.25826278855303,47.30913432972259
2,0.4816188386508396,88.00000000000001,85.5,45.334820332316426,45.0897860911019
3,0.4313983746937343,87.58333333333333,85.83333333333333,44.90503340506243,46.13870586929413
4,0.3952332692486899,87.85416666666666,85.5,44.80126439296893,45.25482951173356
5,0.3663860346589769,88.0625,85.5,44.65850861396121,44.63382561882563
6,0.3434354492596218,87.625,85.83333333333333,44.777829475903886,44.42022116772118
7,0.3299219267708914,87.60416666666667,85.5,44.47394188344819,44.70116979425804
8,0.31606972217559814,87.64583333333333,85.5,44.51049360657884,44.73750655691061
